id;rua;zip;cidade;urf
1;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing
2;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
3;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit
4;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools
5;Branding;Home Gloves Latvia;Ports Manager Fish;Networked
6;Fish;payment calculating;local area network Benin;turn-key dedicated
7;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local
8;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures
9;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
10;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant
